profile_id,manufacturer,model_family,instrument_class,capability_id,label_ko,category,operation,scpi,response_type,unit,risk_level,scope,verification,parameters_json,source_ids,note_ko
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.voltage,출력 전압 설정,source,query,VOLT?,float,V,high,,profile_source_confirmed,"[{""maximum"":36.75,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""V""}]",lab_visa_pmx35_profile,정격 35 V; 출처 프로파일은 105%까지 설정 범위를 기록.
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,protection.over_voltage,과전압 보호 설정,protection,set,VOLT:PROT {value},,V,high,,profile_source_confirmed,"[{""maximum"":38.5,""minimum"":3.5,""name"":""value"",""type"":""float"",""unit"":""V""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,protection.over_voltage,과전압 보호 설정,protection,query,VOLT:PROT?,float,V,high,,profile_source_confirmed,"[{""maximum"":38.5,""minimum"":3.5,""name"":""value"",""type"":""float"",""unit"":""V""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.voltage.trigger_value,트리거 전압 설정,source,set,VOLT:TRIG {value},,V,high,,profile_source_confirmed,"[{""maximum"":36.75,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""V""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.voltage.trigger_value,트리거 전압 설정,source,query,VOLT:TRIG?,float,V,high,,profile_source_confirmed,"[{""maximum"":36.75,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""V""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.current,출력 전류 한계 설정,source,set,CURR {value},,A,high,,profile_source_confirmed,"[{""maximum"":3.15,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""A""}]",lab_visa_pmx35_profile,정격 3 A; 출처 프로파일은 105%까지 설정 범위를 기록.
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.current,출력 전류 한계 설정,source,query,CURR?,float,A,high,,profile_source_confirmed,"[{""maximum"":3.15,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""A""}]",lab_visa_pmx35_profile,정격 3 A; 출처 프로파일은 105%까지 설정 범위를 기록.
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,protection.over_current,과전류 보호 설정,protection,set,CURR:PROT {value},,A,high,,profile_source_confirmed,"[{""maximum"":3.3,""minimum"":0.3,""name"":""value"",""type"":""float"",""unit"":""A""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,protection.over_current,과전류 보호 설정,protection,query,CURR:PROT?,float,A,high,,profile_source_confirmed,"[{""maximum"":3.3,""minimum"":0.3,""name"":""value"",""type"":""float"",""unit"":""A""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.current.trigger_value,트리거 전류 설정,source,set,CURR:TRIG {value},,A,high,,profile_source_confirmed,"[{""maximum"":3.15,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""A""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.current.trigger_value,트리거 전류 설정,source,query,CURR:TRIG?,float,A,high,,profile_source_confirmed,"[{""maximum"":3.15,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""A""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,measurement.voltage,실제 출력 전압 측정,measurement,query,MEAS:VOLT?,float,V,low,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,measurement.current,실제 출력 전류 측정,measurement,query,MEAS:CURR?,float,A,low,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,transient.initiate,트랜지언트 트리거 대기 시작,trigger,execute,INIT:TRAN,,,medium,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,operation.abort,진행 중 동작 중단,system,execute,ABOR,,,medium,,profile_source_confirmed,[],lab_visa_pmx35_profile,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,system.reset,초기화,system,execute,*RST,,,medium,,source_code_confirmed,[],qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,system.self_test,자기진단,system,query,*TST?,integer,,medium,,source_code_confirmed,[],qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.frequency,RF 주파수,source,set,SOUR:FREQ {value},,Hz,medium,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,드라이버 범위이며 주파수 옵션별 실제 상한 확인 필요.
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.frequency,RF 주파수,source,query,SOUR:FREQ?,float,Hz,medium,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,드라이버 범위이며 주파수 옵션별 실제 상한 확인 필요.
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.phase,RF 위상,source,set,SOUR:PHAS {value},,deg,low,,source_code_confirmed,"[{""maximum"":360,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""deg""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.phase,RF 위상,source,query,SOUR:PHAS?,float,deg,low,,source_code_confirmed,"[{""maximum"":360,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""deg""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.power,RF 출력 레벨,source,set,SOUR:POW {value},,dBm,high,,source_code_confirmed,"[{""maximum"":30,""minimum"":-120,""name"":""value"",""type"":""float"",""unit"":""dBm""}]",qcodes_contrib_smb100a,주파수·옵션별 실제 출력 범위 확인 필요.
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.power,RF 출력 레벨,source,query,SOUR:POW?,float,dBm,high,,source_code_confirmed,"[{""maximum"":30,""minimum"":-120,""name"":""value"",""type"":""float"",""unit"":""dBm""}]",qcodes_contrib_smb100a,주파수·옵션별 실제 출력 범위 확인 필요.
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,rf.output.state,RF 출력 ON/OFF,output,set,:OUTP:STAT {state},,,high,,source_code_confirmed,"[{""mapping"":{""false"":""0"",""true"":""1""},""name"":""state"",""type"":""boolean""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,rf.output.state,RF 출력 ON/OFF,output,query,:OUTP:STAT?,boolean,,high,,source_code_confirmed,"[{""mapping"":{""false"":""0"",""true"":""1""},""name"":""state"",""type"":""boolean""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,modulation.pulse.state,펄스 변조 ON/OFF,modulation,set,:SOUR:PULM:STAT {state},,,medium,,source_code_confirmed,"[{""mapping"":{""false"":""0"",""true"":""1""},""name"":""state"",""type"":""boolean""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,modulation.pulse.state,펄스 변조 ON/OFF,modulation,query,:SOUR:PULM:STAT?,boolean,,medium,,source_code_confirmed,"[{""mapping"":{""false"":""0"",""true"":""1""},""name"":""state"",""type"":""boolean""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.frequency.start,스윕 시작 주파수,sweep,set,FREQ:START {value} Hz,,Hz,low,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.frequency.start,스윕 시작 주파수,sweep,query,FREQ:START?,float,Hz,low,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.frequency.stop,스윕 종료 주파수,sweep,set,FREQ:STOP {value} Hz,,Hz,low,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.frequency.stop,스윕 종료 주파수,sweep,query,FREQ:STOP?,float,Hz,low,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.frequency.step,스윕 주파수 간격,sweep,set,SWE:STEP {value} Hz,,Hz,low,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.frequency.step,스윕 주파수 간격,sweep,query,SWE:STEP?,float,Hz,low,,source_code_confirmed,"[{""maximum"":20000000000.0,""minimum"":100000.0,""name"":""value"",""type"":""float"",""unit"":""Hz""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.points,스윕 포인트 수,sweep,set,SWE:POIN {value},,,low,,source_code_confirmed,"[{""minimum"":2,""name"":""value"",""type"":""integer""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.points,스윕 포인트 수,sweep,query,SWE:POIN?,integer,,low,,source_code_confirmed,"[{""minimum"":2,""name"":""value"",""type"":""integer""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.dwell,스윕 포인트 체류시간,sweep,set,SWE:DWEL {value} s,,s,low,,source_code_confirmed,"[{""maximum"":1000,""minimum"":0.005,""name"":""value"",""type"":""float"",""unit"":""s""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.dwell,스윕 포인트 체류시간,sweep,query,SWE:DWEL?,float,s,low,,source_code_confirmed,"[{""maximum"":1000,""minimum"":0.005,""name"":""value"",""type"":""float"",""unit"":""s""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.frequency.mode,주파수 모드,source,set,SOUR:FREQ:MODE {mode},,,low,,source_code_confirmed,"[{""choices"":[""CW"",""SWE""],""name"":""mode"",""type"":""enum""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,source.frequency.mode,주파수 모드,source,query,SOUR:FREQ:MODE?,string,,low,,source_code_confirmed,"[{""choices"":[""CW"",""SWE""],""name"":""mode"",""type"":""enum""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.trigger_source,스윕 트리거 소스,trigger,set,TRIG:FSW:SOUR {source},,,low,,source_code_confirmed,"[{""choices"":[""AUTO"",""SING""],""name"":""source"",""type"":""enum""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,sweep.trigger_source,스윕 트리거 소스,trigger,query,TRIG:FSW:SOUR?,string,,low,,source_code_confirmed,"[{""choices"":[""AUTO"",""SING""],""name"":""source"",""type"":""enum""}]",qcodes_contrib_smb100a,
rs_smb100a,Rohde & Schwarz,SMB100A,rf_signal_generator,trigger.force,버스 트리거,trigger,execute,*TRG,,,medium,,source_code_confirmed,[],qcodes_contrib_smb100a,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.span,주파수 Span,frequency,set,FREQ:SPAN {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.span,주파수 Span,frequency,query,FREQ:SPAN?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.center,중심 주파수,frequency,set,FREQ:CENT {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.center,중심 주파수,frequency,query,FREQ:CENT?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.start,시작 주파수,frequency,set,FREQ:STAR {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.start,시작 주파수,frequency,query,FREQ:STAR?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.stop,종료 주파수,frequency,set,FREQ:STOP {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.frequency.stop,종료 주파수,frequency,query,FREQ:STOP?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.input.attenuation,입력 감쇠,input,set,INP:ATT {value},,dB,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""dB""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.input.attenuation,입력 감쇠,input,query,INP:ATT?,float,dB,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""dB""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.rbw,분해능 대역폭 RBW,bandwidth,set,BAND:RES {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.rbw,분해능 대역폭 RBW,bandwidth,query,BAND:RES?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.vbw,비디오 대역폭 VBW,bandwidth,set,BAND:VID {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,analyzer.vbw,비디오 대역폭 VBW,bandwidth,query,BAND:VID?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,sweep.time,스윕 시간,sweep,set,SWE:TIME {value},,s,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""s""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,sweep.time,스윕 시간,sweep,query,SWE:TIME?,float,s,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""s""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,sweep.continuous,연속 스윕,sweep,set,INIT:CONT {state},,,low,,source_code_confirmed,"[{""mapping"":{""false"":""0"",""true"":""1""},""name"":""state"",""type"":""boolean""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,sweep.continuous,연속 스윕,sweep,query,INIT:CONT?,boolean,,low,,source_code_confirmed,"[{""mapping"":{""false"":""0"",""true"":""1""},""name"":""state"",""type"":""boolean""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,sweep.single,단일 스윕 및 완료 대기,sweep,execute,INIT; *WAI,,,low,,source_code_confirmed,[],pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,sweep.continue_single,단일 스윕 계속,sweep,execute,INIT:CONM; *WAI,,,low,,source_code_confirmed,[],pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,trace.mode,트레이스 모드,trace,set,DISP:TRAC:MODE {mode},,,low,,source_code_confirmed,"[{""choices"":[""WRIT"",""MAXH"",""MINH"",""AVER"",""VIEW""],""name"":""mode"",""type"":""enum""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,trace.mode,트레이스 모드,trace,query,DISP:TRAC:MODE?,string,,low,,source_code_confirmed,"[{""choices"":[""WRIT"",""MAXH"",""MINH"",""AVER"",""VIEW""],""name"":""mode"",""type"":""enum""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.state,마커 ON/OFF,marker,set,CALC:MARK{marker}:STAT {state},,,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""mapping"":{""false"":""OFF"",""true"":""ON""},""name"":""state"",""type"":""boolean""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.frequency,마커 주파수,marker,set,CALC:MARK{marker}:X {value},,Hz,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.frequency,마커 주파수,marker,query,CALC:MARK{marker}:X?,float,Hz,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.amplitude,마커 레벨,marker,query,CALC:MARK{marker}:Y?,float,dBm,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.peak_excursion,Peak excursion,marker,set,CALC:MARK{marker}:PEXC {value},,dB,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""name"":""value"",""type"":""float"",""unit"":""dB""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.peak_excursion,Peak excursion,marker,query,CALC:MARK{marker}:PEXC?,float,dB,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""name"":""value"",""type"":""float"",""unit"":""dB""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.assign_trace,마커-트레이스 연결,marker,execute,CALC:MARK{marker}:TRAC {trace},,,low,marker_trace,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""maximum"":6,""minimum"":1,""name"":""trace"",""type"":""integer""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.peak_search,최대 Peak 탐색,marker,execute,CALC:MARK{marker}:MAX,,,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,marker.next_peak,다음 Peak 탐색,marker,execute,CALC:MARK{marker}:MAX:{direction},,,low,marker,source_code_confirmed,"[{""maximum"":4,""minimum"":1,""name"":""marker"",""type"":""integer""},{""choices"":[""LEFT"",""RIGHT""],""name"":""direction"",""type"":""enum""}]",pymeasure_rs_fsseries,
rs_fsl,Rohde & Schwarz,FSL,spectrum_analyzer,trace.read,트레이스 데이터 읽기,trace,query,TRAC{trace}? TRACE{trace},float_array,,low,trace,source_code_confirmed,"[{""maximum"":6,""minimum"":1,""name"":""trace"",""type"":""integer""}]",pymeasure_rs_fsseries,드라이버 구현을 보존. 일부 펌웨어는 TRAC:DATA? 계열일 수 있어 공식 매뉴얼 대조 필요.
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.span,주파수 Span,frequency,set,FREQ:SPAN {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.span,주파수 Span,frequency,query,FREQ:SPAN?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.center,중심 주파수,frequency,set,FREQ:CENT {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.center,중심 주파수,frequency,query,FREQ:CENT?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.start,시작 주파수,frequency,set,FREQ:STAR {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.start,시작 주파수,frequency,query,FREQ:STAR?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.stop,종료 주파수,frequency,set,FREQ:STOP {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.frequency.stop,종료 주파수,frequency,query,FREQ:STOP?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.input.attenuation,입력 감쇠,input,set,INP:ATT {value},,dB,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""dB""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.input.attenuation,입력 감쇠,input,query,INP:ATT?,float,dB,low,,source_code_confirmed,"[{""name"":""value"",""type"":""float"",""unit"":""dB""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.rbw,분해능 대역폭 RBW,bandwidth,set,BAND:RES {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.rbw,분해능 대역폭 RBW,bandwidth,query,BAND:RES?,float,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
rs_fsw,Rohde & Schwarz,FSW,signal_and_spectrum_analyzer,analyzer.vbw,비디오 대역폭 VBW,bandwidth,set,BAND:VID {value},,Hz,low,,source_code_confirmed,"[{""name"":""value"",""type"":""number_or_auto"",""unit"":""Hz""}]",pymeasure_rs_fsseries,
